lang	register	exp	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	conj	cop	csubj	det	discourse	fixed	mark	nmod	nsubj	nummod	obj	obl	parataxis	punct	root	xcomp
EN	news	NA	1109	1890	507	834	445	1456	5	3152	341	461	964	1892	1937	335	30	2009	1	184	307	558	980	128	405	1932	442	296	480	243	14	1431	5	60	580	775	1277	241	830	968	72	1936	721	238
EN	reviews	NA	1234	1159	890	983	541	1343	16	2580	251	483	1670	394	1581	351	62	1775	6	105	322	1075	783	51	446	1059	551	121	593	447	18	1290	21	44	596	337	1404	182	914	651	134	1582	1023	249
RU	news	prof	1236	1969	520	180	464	403	2	4179	355	205	823	1523	2843	472	6	2037	0	214	219	562	1160	293	24	1953	467	188	667	86	30	385	4	158	460	1859	1309	254	627	1418	244	2843	697	174
RU	news	stud	1233	1932	513	171	442	366	0	4242	359	254	704	1473	2744	390	18	1958	3	214	171	598	1140	299	32	1900	451	188	634	70	33	346	4	177	379	1920	1211	272	584	1433	216	2741	710	169
RU	reviews	prof	1219	1055	858	147	539	540	3	2638	236	526	1186	434	2536	420	5	1775	3	73	265	1029	806	35	55	1037	537	104	687	81	108	513	4	144	421	632	1234	148	607	1033	138	2529	1043	173
RU	reviews	stud	1252	1119	877	162	514	492	1	2648	239	549	1247	417	2430	408	7	1750	1	86	248	1086	846	33	45	1101	512	112	683	88	104	471	4	139	404	671	1252	162	601	1093	130	2425	1003	172
HR	news	prof	1798	1693	613	1290	544	596	4	3861	254	84	457	1285	1690	577	4	1611	130	356	179	572	1403	50	1013	1725	505	271	579	239	24	286	76	81	490	1530	1287	240	723	1107	136	1690	724	209
HR	news	stud	1718	1671	615	1272	534	639	5	3735	238	94	489	1284	1826	587	7	1692	108	359	189	596	1358	58	1011	1695	495	280	575	215	20	322	78	80	506	1417	1303	235	704	1136	133	1826	727	231
HR	reviews	prof	1369	999	915	1251	656	764	27	2528	192	199	600	339	1601	495	2	1766	54	232	248	1014	901	21	751	1026	604	156	677	456	34	381	117	66	419	674	837	172	894	653	51	1599	1028	293
HR	reviews	stud	1358	955	973	1258	632	747	25	2478	196	234	646	314	1622	534	1	1731	91	220	251	1086	871	25	730	989	581	173	676	466	41	375	138	74	439	600	880	174	897	665	56	1619	1014	282
FI	reviews	prof	959	130	1046	1031	506	0	18	2465	162	0	1070	370	1823	345	37	1630	15	84	296	1015	552	42	512	124	514	123	631	424	2	292	15	9	345	143	496	133	799	748	30	1825	1094	192
FI	reviews	stud	969	148	1046	1083	503	0	20	2452	171	0	1265	381	1959	365	62	1664	10	78	306	995	545	41	506	147	533	130	648	473	0	329	18	18	365	151	523	132	843	764	34	1960	1100	192
